UavEast	UavNorth
[meter]	[meter]
748605	3637376
748605	3637376
748605	3637376
748605	3637376
748605	3637376
748605	3637376
748605	3637376
748605	3637376
748615	3637383
748615	3637383
748615	3637383
748615	3637383
748615	3637383
748615	3637383
748615	3637383
748622	3637387
748622	3637387
748622	3637387
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748630	3637394
748638	3637400
748638	3637400
748638	3637400
748638	3637400
748638	3637400
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748646	3637406
748654	3637412
748654	3637412
748661	3637419
748661	3637419
748661	3637419
748661	3637419
748661	3637419
748661	3637419
748661	3637419
748661	3637419
748668	3637425
748668	3637425
748668	3637425
748668	3637425
748668	3637425
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748677	3637432
748684	3637438
748684	3637438
748684	3637438
748692	3637444
748692	3637444
748692	3637444
748692	3637444
748692	3637444
748692	3637444
748692	3637444
748699	3637450
748699	3637450
748699	3637450
748699	3637450
748699	3637450
748699	3637450
748699	3637450
748699	3637450
748707	3637459
748707	3637459
748707	3637459
748707	3637459
748707	3637459
748707	3637459
748707	3637459
748714	3637465
748714	3637465
748714	3637465
748714	3637465
748714	3637465
748720	3637472
748720	3637472
748720	3637472
748720	3637472
748720	3637472
748720	3637472
748720	3637472
748720	3637472
748726	3637478
748726	3637478
748726	3637478
748726	3637478
748726	3637478
748735	3637487
748735	3637487
748735	3637487
748735	3637487
748735	3637487
748735	3637487
748735	3637487
748742	3637494
748742	3637494
748742	3637494
748742	3637494
748742	3637494
748742	3637494
748742	3637494
748742	3637494
748748	3637500
748748	3637500
748748	3637500
748748	3637500
748748	3637500
748755	3637509
748755	3637509
748755	3637509
748755	3637509
748755	3637509
748755	3637509
748755	3637509
748762	3637517
748762	3637517
748762	3637517
748762	3637517
748762	3637517
748762	3637517
748768	3637523
748768	3637523
748768	3637523
748768	3637523
748768	3637523
748768	3637523
748768	3637523
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748774	3637532
748780	3637539
748780	3637539
748780	3637539
748780	3637539
748780	3637539
748787	3637548
748787	3637548
748787	3637548
748787	3637548
748787	3637548
748793	3637556
748793	3637556
748793	3637556
748793	3637556
748793	3637556
748793	3637556
748793	3637556
748793	3637556
748798	3637563
748798	3637563
748798	3637563
748798	3637563
748798	3637563
748804	3637572
748804	3637572
748804	3637572
748804	3637572
748804	3637572
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748811	3637581
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748822	3637596
748828	3637605
748828	3637605
748828	3637605
748828	3637605
748828	3637605
748828	3637605
748828	3637605
748828	3637605
748833	3637614
748833	3637614
748833	3637614
748833	3637614
748833	3637614
748840	3637624
748840	3637624
748840	3637624
748840	3637624
748840	3637624
748840	3637624
748840	3637624
748840	3637624
748845	3637633
748845	3637633
748845	3637633
748845	3637633
748845	3637633
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748851	3637642
748855	3637652
748855	3637652
748855	3637652
748855	3637652
748855	3637652
748861	3637661
748861	3637661
748861	3637661
748861	3637661
748861	3637661
748861	3637661
748861	3637661
748865	3637670
748865	3637670
748865	3637670
748865	3637670
748865	3637670
748870	3637678
748870	3637678
748870	3637678
748870	3637678
748870	3637678
748875	3637687
748875	3637687
748875	3637687
748875	3637687
748875	3637687
748879	3637697
748879	3637697
748879	3637697
748879	3637697
748879	3637697
748879	3637697
748879	3637697
748879	3637697
748883	3637705
748883	3637705
748883	3637705
748883	3637705
748883	3637705
748883	3637705
748883	3637705
748888	3637716
748888	3637716
748888	3637716
748888	3637716
748888	3637716
748888	3637716
748888	3637716
748888	3637716
748892	3637724
748892	3637724
